MessageType,utcTimeMillis,MeasurementX,MeasurementY,MeasurementZ,BiasX,BiasY,BiasZ
UncalAccel,1609797015096,0.05843968,9.894794,-1.2005389,0.0,0.0,0.0
UncalMag,1609797015103,55.50343,-5.6888313,-146.68579,-31.0773,51.787903,-198.1201
UncalAccel,1609797015106,-0.13077162,9.844498,-0.90354884,0.0,0.0,0.0
UncalGyro,1609797015112,-0.0062555904,0.000792352,-0.0005276799,0.0,0.0,0.0
UncalMag,1609797015113,54.916122,-7.0059266,-148.72739,-31.0773,51.787903,-198.1201
UncalAccel,1609797015116,-0.025388122,9.736719,-0.8556473,0.0,0.0,0.0
UncalMag,1609797015123,54.082455,-8.324945,-147.86864,-31.0773,51.787903,-198.1201
UncalAccel,1609797015126,-0.0277832,9.79899,-1.0783899,0.0,0.0,0.0
UncalGyro,1609797015132,0.005196901,0.000792352,4.9937516e-06,0.0,0.0,0.0
UncalMag,1609797015133,54.048397,-8.342524,-149.39345,-31.0773,51.787903,-198.1201
UncalAccel,1609797015136,-0.10682084,9.901979,-0.9777963,0.0,0.0,0.0
UncalMag,1609797015143,56.011024,-9.345411,-148.71603,-31.0773,51.787903,-198.1201
UncalAccel,1609797015146,-0.030178279,9.844498,-1.0688094,0.0,0.0,0.0
UncalGyro,1609797015152,-0.0041248947,-0.00027299533,4.9937516e-06,0.0,0.0,0.0
UncalMag,1609797015153,55.118465,-11.496038,-148.25584,-31.0773,51.787903,-198.1201
UncalAccel,1609797015156,-0.06370939,9.751089,-0.7358933,0.0,0.0,0.0
UncalMag,1609797015163,54.961628,-11.647908,-147.93945,-31.0773,51.787903,-198.1201
UncalAccel,1609797015166,-0.030178279,9.863658,-1.0616242,0.0,0.0,0.0
UncalGyro,1609797015172,0.0030662054,-0.00027299533,-0.001060354,0.0,0.0,0.0
UncalMag,1609797015173,53.390324,-12.767478,-146.02496,-31.0773,51.787903,-198.1201
UncalAccel,1609797015176,-0.14274704,9.904374,-0.9179194,0.0,0.0,0.0
UncalMag,1609797015183,52.653187,-12.167167,-146.06602,-31.0773,51.787903,-198.1201
UncalAccel,1609797015186,-0.011017635,9.79899,-1.0424635,0.0,0.0,0.0
UncalGyro,1609797015192,-0.00012984028,-0.00027299533,-0.00026134355,0.0,0.0,0.0
UncalMag,1609797015193,54.138367,-10.895892,-145.24408,-31.0773,51.787903,-198.1201
UncalAccel,1609797015197,-0.10442577,9.782225,-0.98019147,0.0,0.0,0.0
UncalMag,1609797015203,53.33182,-9.467569,-143.66512,-31.0773,51.787903,-198.1201
UncalAccel,1609797015207,-0.046943843,9.894794,-1.0209079,0.0,0.0,0.0
UncalGyro,1609797015212,-0.0019941982,-0.000805669,-0.0007940172,0.0,0.0,0.0
UncalMag,1609797015213,54.21497,-7.5888705,-143.80072,-31.0773,51.787903,-198.1201
UncalAccel,1609797015217,-0.11400607,9.782225,-0.9131292,0.0,0.0,0.0
UncalMag,1609797015223,53.82897,-6.6654882,-142.79726,-31.0773,51.787903,-198.1201
UncalAccel,1609797015227,-0.034968436,9.827731,-0.9251046,0.0,0.0,0.0
UncalGyro,1609797015232,0.003598879,-0.00053933216,0.0005376674,0.0,0.0,0.0
UncalMag,1609797015233,53.82897,-6.6654882,-142.79726,-31.0773,51.787903,-198.1201
UncalAccel,1609797015237,-0.075684786,9.933115,-1.0999454,0.0,0.0,0.0
UncalMag,1609797015243,54.8219,-5.9945707,-141.62627,-31.0773,51.787903,-198.1201
UncalAccel,1609797015247,-0.12119134,9.832522,-0.87959826,0.0,0.0,0.0
UncalGyro,1609797015252,-0.002260535,-0.00027299533,4.9937516e-06,0.0,0.0,0.0
UncalMag,1609797015253,54.8219,-5.9945707,-141.62627,-31.0773,51.787903,-198.1201
UncalAccel,1609797015257,-0.013412721,9.789411,-0.98977184,0.0,0.0,0.0
UncalMag,1609797015263,54.058514,-3.6092196,-140.72595,-31.0773,51.787903,-198.1201
UncalAccel,1609797015267,-0.06610449,9.830127,-1.0304881,0.0,0.0,0.0
UncalGyro,1609797015272,0.0027998681,0.00025967835,-0.00026134355,0.0,0.0,0.0
UncalMag,1609797015273,53.6561,-5.0270414,-141.08205,-31.0773,51.787903,-198.1201
UncalAccel,1609797015277,-0.075684786,9.906769,-1.0640193,0.0,0.0,0.0
UncalMag,1609797015283,53.77697,-2.6945431,-142.0113,-31.0773,51.787903,-198.1201
UncalAccel,1609797015287,-0.09245035,9.803781,-0.8819932,0.0,0.0,0.0
UncalGyro,1609797015292,-0.0025268719,0.0005260152,0.00027133105,0.0,0.0,0.0
UncalMag,1609797015293,53.690655,-4.6085997,-140.65405,-31.0773,51.787903,-198.1201
UncalAccel,1609797015297,-0.018202886,9.801386,-0.9418702,0.0,0.0,0.0
UncalMag,1609797015303,55.4196,-3.603818,-142.10289,-31.0773,51.787903,-198.1201
UncalAccel,1609797015307,-0.08766019,9.897189,-0.99695706,0.0,0.0,0.0
UncalGyro,1609797015312,0.0006691721,0.0010586889,-0.0005276804,0.0,0.0,0.0
UncalMag,1609797015313,53.245956,-3.4484437,-143.0248,-31.0773,51.787903,-198.1201
UncalAccel,1609797015317,-0.11640115,9.856472,-1.0161176,0.0,0.0,0.0
UncalMag,1609797015323,52.928066,-3.48728,-143.32654,-31.0773,51.787903,-198.1201
UncalAccel,1609797015327,-0.0038323924,9.779831,-0.9394752,0.0,0.0,0.0
UncalGyro,1609797015332,-0.0003961771,0.0015913644,0.0013366784,0.0,0.0,0.0
UncalMag,1609797015333,53.63796,-4.101654,-144.50534,-31.0773,51.787903,-198.1201
UncalAccel,1609797015337,-0.094845444,9.791805,-1.0256981,0.0,0.0,0.0
UncalMag,1609797015343,55.267963,-3.2188566,-143.04562,-31.0773,51.787903,-198.1201
UncalAccel,1609797015347,-0.068499565,9.880424,-0.9993521,0.0,0.0,0.0
UncalGyro,1609797015352,-0.0014615236,0.0005260152,0.0008040047,0.0,0.0,0.0
UncalMag,1609797015353,53.24645,-3.04758,-144.1216,-31.0773,51.787903,-198.1201
UncalAccel,1609797015357,-0.08287005,9.808571,-0.9011539,0.0,0.0,0.0
UncalMag,1609797015363,53.552326,-3.5490878,-142.86569,-31.0773,51.787903,-198.1201
UncalAccel,1609797015367,0.012933161,9.832522,-1.0496489,0.0,0.0,0.0
UncalGyro,1609797015372,0.0006691707,0.00025967835,0.00027133012,0.0,0.0,0.0
UncalMag,1609797015373,54.210526,-0.86003745,-141.37968,-31.0773,51.787903,-198.1201
UncalAccel,1609797015377,-0.075684786,9.870843,-0.9586358,0.0,0.0,0.0
UncalMag,1609797015383,53.59338,-2.45961,-144.01158,-31.0773,51.787903,-198.1201
UncalAccel,1609797015387,-0.07089464,9.787015,-0.9227096,0.0,0.0,0.0
UncalGyro,1609797015392,-0.0027932087,-6.6584907e-06,0.0008040052,0.0,0.0,0.0
UncalMag,1609797015393,54.918926,-3.6743782,-143.6229,-31.0773,51.787903,-198.1201
UncalAccel,1609797015397,-0.008622564,9.755879,-0.8724129,0.0,0.0,0.0
UncalMag,1609797015403,53.102432,-2.92576,-143.97733,-31.0773,51.787903,-198.1201
UncalAccel,1609797015407,-0.061314315,9.858868,-1.0975504,0.0,0.0,0.0
UncalGyro,1609797015412,0.0017345198,0.0005260152,-0.0005276804,0.0,0.0,0.0
UncalMag,1609797015413,54.52562,-4.1527495,-146.18242,-31.0773,51.787903,-198.1201
UncalAccel,1609797015417,-0.051734,9.882819,-1.0041423,0.0,0.0,0.0
UncalMag,1609797015423,53.016487,-1.705673,-144.21654,-31.0773,51.787903,-198.1201
UncalAccel,1609797015427,-0.018202886,9.77504,-0.9107342,0.0,0.0,0.0
UncalGyro,1609797015432,-0.00066251395,0.0010586889,0.0008040038,0.0,0.0,0.0
UncalMag,1609797015433,54.682156,-2.3359861,-144.0228,-31.0773,51.787903,-198.1201
UncalAccel,1609797015437,0.010538079,9.787015,-0.9706111,0.0,0.0,0.0
UncalMag,1609797015443,56.156116,-2.8690891,-145.81952,-31.0773,51.787903,-198.1201
UncalAccel,1609797015447,-0.058919236,9.878028,-0.9706111,0.0,0.0,0.0
UncalGyro,1609797015452,-0.00012983935,-0.00027299533,-0.001060354,0.0,0.0,0.0
UncalMag,1609797015453,55.56201,-3.1923249,-143.81123,-31.0773,51.787903,-198.1201
UncalAccel,1609797015457,-0.06610449,9.844498,-0.99216676,0.0,0.0,0.0
UncalMag,1609797015463,52.238792,-1.7939756,-144.20853,-31.0773,51.787903,-198.1201
UncalAccel,1609797015467,-0.0038323924,9.772645,-0.9394752,0.0,0.0,0.0
UncalGyro,1609797015472,0.001468183,0.00025967835,4.9937516e-06,0.0,0.0,0.0
UncalMag,1609797015473,54.013123,-2.6978943,-145.3691,-31.0773,51.787903,-198.1201
UncalAccel,1609797015477,-0.025388122,9.861262,-1.0137225,0.0,0.0,0.0
UncalMag,1609797015483,55.257435,-2.5566099,-145.38191,-31.0773,51.787903,-198.1201
UncalAccel,1609797015487,-0.058919236,9.842102,-0.95624065,0.0,0.0,0.0
UncalGyro,1609797015493,-0.002260537,-0.00027299533,-0.001060354,0.0,0.0,0.0
UncalMag,1609797015493,54.98642,-2.304181,-144.33096,-31.0773,51.787903,-198.1201
UncalAccel,1609797015497,-0.046943843,9.789411,-0.8843882,0.0,0.0,0.0
UncalMag,1609797015503,53.23592,-2.3853333,-146.45789,-31.0773,51.787903,-198.1201
UncalAccel,1609797015507,-0.011017635,9.832522,-1.0352784,0.0,0.0,0.0
UncalGyro,1609797015513,0.0017345203,-6.6584907e-06,-0.0013266914,0.0,0.0,0.0
UncalMag,1609797015513,53.75331,-1.6384642,-146.05432,-31.0773,51.787903,-198.1201
UncalAccel,1609797015517,-0.06610449,9.897189,-0.94426537,0.0,0.0,0.0
UncalMag,1609797015523,54.49677,-2.6361234,-144.6115,-31.0773,51.787903,-198.1201
UncalAccel,1609797015527,-0.046943843,9.846892,-0.97300625,0.0,0.0,0.0
UncalGyro,1609797015533,-0.00012983935,0.0005260152,4.993286e-06,0.0,0.0,0.0
UncalMag,1609797015533,53.713066,-2.9945982,-144.1264,-31.0773,51.787903,-198.1201
UncalAccel,1609797015537,-0.013412721,9.815757,-0.98977184,0.0,0.0,0.0
UncalMag,1609797015543,53.897648,-2.4278045,-144.31975,-31.0773,51.787903,-198.1201
UncalAccel,1609797015547,-0.05412908,9.880424,-1.0280931,0.0,0.0,0.0
UncalGyro,1609797015553,-0.002260535,-0.00027299533,-0.0021257023,0.0,0.0,0.0
UncalMag,1609797015553,52.40355,-3.5701447,-145.91391,-31.0773,51.787903,-198.1201
UncalAccel,1609797015557,-0.10442577,9.834916,-0.92031455,0.0,0.0,0.0
UncalMag,1609797015563,55.60306,-2.1028473,-144.9571,-31.0773,51.787903,-198.1201
UncalAccel,1609797015567,-0.018202886,9.803781,-0.9394752,0.0,0.0,0.0
UncalGyro,1609797015573,0.0027998681,-0.00027299533,-0.00026134308,0.0,0.0,0.0
UncalMag,1609797015573,55.468452,-1.7090973,-145.13744,-31.0773,51.787903,-198.1201
UncalAccel,1609797015577,-0.05412908,9.875633,-1.0616242,0.0,0.0,0.0
UncalMag,1609797015583,53.96575,-3.3900237,-145.62497,-31.0773,51.787903,-198.1201
UncalAccel,1609797015587,-0.111610994,9.91635,-0.98977184,0.0,0.0,0.0
UncalGyro,1609797015593,-0.0033258842,0.000792352,-0.001060354,0.0,0.0,0.0
UncalMag,1609797015593,53.870712,-3.1093874,-143.66075,-31.0773,51.787903,-198.1201
UncalAccel,1609797015597,-0.056524158,9.8109665,-0.94426537,0.0,0.0,0.0
UncalMag,1609797015603,54.81806,-2.595529,-144.15724,-31.0773,51.787903,-198.1201
UncalAccel,1609797015607,-0.030178279,9.7343235,-0.9418702,0.0,0.0,0.0
UncalGyro,1609797015613,-0.0003961771,0.0005260152,-0.0005276799,0.0,0.0,0.0
UncalMag,1609797015613,56.380264,-2.4154084,-143.86832,-31.0773,51.787903,-198.1201
UncalAccel,1609797015617,-0.14035195,9.844498,-0.9179194,0.0,0.0,0.0
UncalMag,1609797015623,54.864746,-4.3700233,-144.18375,-31.0773,51.787903,-198.1201
UncalAccel,1609797015627,-0.075684786,9.839706,-1.0664144,0.0,0.0,0.0
UncalGyro,1609797015633,0.0006691721,0.00025967835,0.0005376679,0.0,0.0,0.0
UncalMag,1609797015633,54.78481,-2.8797638,-144.90002,-31.0773,51.787903,-198.1201
UncalAccel,1609797015637,-0.08287005,9.834916,-0.8772031,0.0,0.0,0.0
UncalMag,1609797015643,54.25479,-1.8345613,-143.75227,-31.0773,51.787903,-198.1201
UncalAccel,1609797015647,-0.05412908,9.779831,-1.1670078,0.0,0.0,0.0
UncalGyro,1609797015653,-0.0011951867,-6.6584907e-06,-0.00026134355,0.0,0.0,0.0
UncalMag,1609797015653,54.65101,-2.7526705,-144.29831,-31.0773,51.787903,-198.1201
UncalAccel,1609797015657,-0.23855026,9.866054,-1.059229,0.0,0.0,0.0
UncalMag,1609797015663,54.760967,-2.8920686,-145.96739,-31.0773,51.787903,-198.1201
UncalAccel,1609797015667,0.12550193,9.7463,-1.38975,0.0,0.0,0.0
UncalGyro,1609797015673,-0.0014615245,-0.00053933216,0.0016030162,0.0,0.0,0.0
UncalMag,1609797015673,54.641285,-2.35708,-145.85257,-31.0773,51.787903,-198.1201
UncalAccel,1609797015677,-0.23615514,9.672051,-0.7622393,0.0,0.0,0.0
UncalMag,1609797015683,53.91387,-2.1523588,-144.33937,-31.0773,51.787903,-198.1201
UncalAccel,1609797015687,-0.008622564,9.94509,-1.2388601,0.0,0.0,0.0
UncalGyro,1609797015693,0.001468183,-0.0002729944,0.0005376679,0.0,0.0,0.0
UncalMag,1609797015693,54.232567,-2.380179,-143.25558,-31.0773,51.787903,-198.1201
UncalAccel,1609797015697,-0.19783388,9.832522,-0.78619003,0.0,0.0,0.0
UncalMag,1609797015703,56.668304,-2.6590483,-144.15685,-31.0773,51.787903,-198.1201
UncalAccel,1609797015707,0.04646428,9.813361,-0.9586358,0.0,0.0,0.0
UncalGyro,1609797015713,0.0012018457,-0.00027299533,0.0008040047,0.0,0.0,0.0
UncalMag,1609797015713,53.504646,-3.5736973,-145.00043,-31.0773,51.787903,-198.1201
UncalAccel,1609797015717,-0.11400607,9.880424,-1.0568341,0.0,0.0,0.0
UncalMag,1609797015723,54.675655,-3.0070224,-142.44891,-31.0773,51.787903,-198.1201
UncalAccel,1609797015727,-0.10442577,9.858868,-0.9466605,0.0,0.0,0.0
UncalGyro,1609797015733,-0.0030595465,0.00025967835,0.0016030162,0.0,0.0,0.0
UncalMag,1609797015733,56.21321,-2.5725496,-144.00937,-31.0773,51.787903,-198.1201
UncalAccel,1609797015737,-0.030178279,9.731928,-0.91552436,0.0,0.0,0.0
UncalMag,1609797015743,53.75282,-2.039328,-144.9575,-31.0773,51.787903,-198.1201
UncalAccel,1609797015747,-0.03736352,9.861262,-1.0496489,0.0,0.0,0.0
UncalGyro,1609797015753,0.0033325418,-6.6584907e-06,0.0008040038,0.0,0.0,0.0
UncalMag,1609797015753,52.792156,-3.227738,-143.1921,-31.0773,51.787903,-198.1201
UncalAccel,1609797015757,-0.12837656,9.94509,-1.0616242,0.0,0.0,0.0
UncalMag,1609797015763,53.103237,-3.1924167,-143.1953,-31.0773,51.787903,-198.1201
UncalAccel,1609797015767,-0.011017635,9.825336,-0.9298948,0.0,0.0,0.0
UncalGyro,1609797015773,-0.0014615245,-0.00027299533,0.0029347008,0.0,0.0,0.0
UncalMag,1609797015773,53.769848,-2.030539,-144.1951,-31.0773,51.787903,-198.1201
UncalAccel,1609797015777,-0.0014373213,9.772645,-1.0280931,0.0,0.0,0.0
UncalMag,1609797015783,54.030956,-2.955762,-143.82465,-31.0773,51.787903,-198.1201
UncalAccel,1609797015787,-0.07328972,9.94509,-0.8772031,0.0,0.0,0.0
UncalGyro,1609797015793,-0.0003961771,0.00025967835,0.00027133012,0.0,0.0,0.0
UncalMag,1609797015793,52.832714,-2.5391235,-143.24117,-31.0773,51.787903,-198.1201
UncalAccel,1609797015797,0.00095775723,9.837312,-1.0568341,0.0,0.0,0.0
UncalMag,1609797015803,54.1226,-2.2407808,-141.5865,-31.0773,51.787903,-198.1201
UncalAccel,1609797015807,-0.015807793,9.825336,-0.83409166,0.0,0.0,0.0
UncalGyro,1609797015813,0.0025335313,0.00025967835,0.001070342,0.0,0.0,0.0
UncalMag,1609797015813,54.031265,-3.623282,-141.9458,-31.0773,51.787903,-198.1201
UncalAccel,1609797015817,0.0057479218,9.887609,-1.1622176,0.0,0.0,0.0
UncalMag,1609797015823,53.57016,-3.8069556,-141.32126,-31.0773,51.787903,-198.1201
UncalAccel,1609797015827,-0.061314315,9.858868,-0.8724129,0.0,0.0,0.0
UncalGyro,1609797015833,-0.0035922201,0.0013250276,0.0010703416,0.0,0.0,0.0
UncalMag,1609797015833,55.49873,-4.82742,-142.16864,-31.0773,51.787903,-198.1201
UncalAccel,1609797015837,0.03688396,9.7463,-0.94905543,0.0,0.0,0.0
UncalMag,1609797015843,53.89827,-3.7628453,-140.56206,-31.0773,51.787903,-198.1201
UncalAccel,1609797015847,-0.008622564,9.8109665,-0.9227096,0.0,0.0,0.0
UncalGyro,1609797015853,0.0020008567,0.0007923539,-0.00026134308,0.0,0.0,0.0
UncalMag,1609797015853,53.656906,-5.2936983,-140.30002,-31.0773,51.787903,-198.1201
UncalAccel,1609797015857,0.012933161,9.911559,-0.9706111,0.0,0.0,0.0
UncalMag,1609797015863,54.8219,-5.9945707,-141.62627,-31.0773,51.787903,-198.1201
UncalAccel,1609797015867,-0.034968436,9.837312,-0.9394752,0.0,0.0,0.0
UncalGyro,1609797015873,-0.000662513,-0.00027299533,-0.0005276804,0.0,0.0,0.0
UncalMag,1609797015873,53.788414,-7.354102,-142.74818,-31.0773,51.787903,-198.1201
UncalAccel,1609797015877,0.01532824,9.837312,-0.93228996,0.0,0.0,0.0
UncalMag,1609797015883,53.731136,-8.719025,-141.58267,-31.0773,51.787903,-198.1201
UncalAccel,1609797015887,-0.05412908,9.834916,-0.9993521,0.0,0.0,0.0
UncalGyro,1609797015893,-0.0014615245,-0.00053933216,-0.0015930282,0.0,0.0,0.0
UncalMag,1609797015893,54.157696,-8.953794,-142.63522,-31.0773,51.787903,-198.1201
UncalAccel,1609797015897,-0.020597957,9.772645,-0.8772031,0.0,0.0,0.0
UncalMag,1609797015903,54.04283,-11.01612,-142.18303,-31.0773,51.787903,-198.1201
UncalAccel,1609797015907,-0.09245035,9.77504,-0.8772031,0.0,0.0,0.0
UncalGyro,1609797015913,0.0033325423,-0.00027299533,-0.0005276804,0.0,0.0,0.0
UncalMag,1609797015913,52.013702,-10.581703,-144.34601,-31.0773,51.787903,-198.1201
UncalAccel,1609797015917,0.022513483,9.866054,-1.1071306,0.0,0.0,0.0
UncalMag,1609797015923,53.60475,-11.918208,-145.628,-31.0773,51.787903,-198.1201
UncalAccel,1609797015927,-0.10682084,9.892399,-0.905944,0.0,0.0,0.0
UncalGyro,1609797015933,-0.0019942,-6.6584907e-06,-0.0013266909,0.0,0.0,0.0
UncalMag,1609797015933,54.293713,-12.943991,-146.62488,-31.0773,51.787903,-198.1201
UncalAccel,1609797015937,-0.05412908,9.830127,-0.98019147,0.0,0.0,0.0
UncalMag,1609797015943,55.77988,-10.870992,-147.99654,-31.0773,51.787903,-198.1201
UncalAccel,1609797015947,-0.16190769,9.794201,-0.82211614,0.0,0.0,0.0
UncalGyro,1609797015953,0.00013649842,0.00052601704,4.9937516e-06,0.0,0.0,0.0
UncalMag,1609797015953,56.437084,-9.981043,-148.67177,-31.0773,51.787903,-198.1201
UncalAccel,1609797015957,0.041674122,9.815757,-1.0400685,0.0,0.0,0.0
UncalMag,1609797015963,56.26031,-8.745218,-146.01222,-31.0773,51.787903,-198.1201
UncalAccel,1609797015967,-0.15232736,9.794201,-0.905944,0.0,0.0,0.0
UncalGyro,1609797015973,0.0009355089,0.0005260152,-0.00026134355,0.0,0.0,0.0
UncalMag,1609797015973,55.002872,-8.49267,-147.70615,-31.0773,51.787903,-198.1201
UncalAccel,1609797015977,-0.15472244,9.880424,-0.934685,0.0,0.0,0.0
UncalMag,1609797015983,55.002872,-8.49267,-147.70615,-31.0773,51.787903,-198.1201
UncalAccel,1609797015987,0.03688396,9.834916,-1.1694027,0.0,0.0,0.0
UncalGyro,1609797016004,0.00013649795,-6.6584907e-06,0.00027133105,0.0,0.0,0.0
UncalMag,1609797016004,56.00539,-6.4814396,-149.83542,-31.0773,51.787903,-198.1201
UncalAccel,1609797016008,-0.094845444,9.815757,-0.82211614,0.0,0.0,0.0
UncalMag,1609797016014,56.00539,-6.4814396,-149.83542,-31.0773,51.787903,-198.1201
UncalAccel,1609797016018,-0.17867324,9.880424,-0.97300625,0.0,0.0,0.0
UncalGyro,1609797016024,0.0014681835,-6.6584907e-06,0.00027133105,0.0,0.0,0.0
UncalMag,1609797016024,55.533768,-5.005491,-147.1923,-31.0773,51.787903,-198.1201
UncalAccel,1609797016028,-0.018202886,9.8181505,-1.0903652,0.0,0.0,0.0
UncalMag,1609797016034,55.031296,-5.61112,-147.30072,-31.0773,51.787903,-198.1201
UncalAccel,1609797016038,-0.08047494,9.803781,-0.8724129,0.0,0.0,0.0
UncalGyro,1609797016044,-0.00039617525,0.0005260152,-0.00026134355,0.0,0.0,0.0
UncalMag,1609797016044,54.565483,-5.930759,-146.51387,-31.0773,51.787903,-198.1201
UncalAccel,1609797016048,-0.10682084,9.885214,-1.0951554,0.0,0.0,0.0
UncalMag,1609797016054,55.653946,-5.139615,-148.40395,-31.0773,51.787903,-198.1201
UncalAccel,1609797016058,-0.1235864,9.851682,-0.9179194,0.0,0.0,0.0
UncalGyro,1609797016064,0.0006691721,0.00025967835,0.0016030162,0.0,0.0,0.0
UncalMag,1609797016064,54.57689,-3.0579991,-146.87086,-31.0773,51.787903,-198.1201
UncalAccel,1609797016068,0.032093804,9.779831,-1.0496489,0.0,0.0,0.0
UncalMag,1609797016074,54.552864,-4.138687,-144.96257,-31.0773,51.787903,-198.1201
UncalAccel,1609797016078,-0.16669783,9.901979,-0.8891784,0.0,0.0,0.0
UncalGyro,1609797016084,-0.00092884985,-0.00027299533,-0.0007940172,0.0,0.0,0.0
UncalMag,1609797016084,54.47144,-4.848395,-146.74329,-31.0773,51.787903,-198.1201
UncalAccel,1609797016088,-0.06610449,9.861262,-1.0280931,0.0,0.0,0.0
UncalMag,1609797016094,55.187027,-3.5277007,-145.92313,-31.0773,51.787903,-198.1201
UncalAccel,1609797016098,-0.015807793,9.779831,-0.965821,0.0,0.0,0.0
UncalGyro,1609797016104,0.0030662054,0.0010586898,0.0005376679,0.0,0.0,0.0
UncalMag,1609797016104,54.52611,-3.7518864,-147.27924,-31.0773,51.787903,-198.1201
UncalAccel,1609797016108,-0.09245035,9.93072,-1.0688094,0.0,0.0,0.0
UncalMag,1609797016114,54.408527,-3.3493466,-146.69714,-31.0773,51.787903,-198.1201
UncalAccel,1609797016118,-0.07807988,9.890003,-1.0616242,0.0,0.0,0.0
UncalGyro,1609797016124,-0.003858558,0.0015913635,0.0018693525,0.0,0.0,0.0
UncalMag,1609797016124,52.417175,-3.5631135,-145.304,-31.0773,51.787903,-198.1201
UncalAccel,1609797016128,-0.0014373213,9.719953,-0.85085714,0.0,0.0,0.0
UncalMag,1609797016134,52.6937,-3.9462347,-145.7352,-31.0773,51.787903,-198.1201
UncalAccel,1609797016138,-0.034968436,9.830127,-0.9873768,0.0,0.0,0.0
UncalGyro,1609797016144,0.0009355089,0.00025967835,0.00027133012,0.0,0.0,0.0
UncalMag,1609797016144,54.72673,-3.9780304,-144.51656,-31.0773,51.787903,-198.1201
UncalAccel,1609797016148,-0.039758593,9.928325,-1.0113276,0.0,0.0,0.0
UncalMag,1609797016154,54.408527,-3.3493466,-146.69714,-31.0773,51.787903,-198.1201
UncalAccel,1609797016158,-0.07328972,9.796596,-0.8939687,0.0,0.0,0.0
UncalGyro,1609797016164,0.00040283526,0.0010586907,0.0010703416,0.0,0.0,0.0
UncalMag,1609797016164,54.191696,-2.4012728,-145.08536,-31.0773,51.787903,-198.1201
UncalAccel,1609797016168,0.032093804,9.851682,-1.1334766,0.0,0.0,0.0
UncalMag,1609797016174,54.93453,-2.0638916,-147.4002,-31.0773,51.787903,-198.1201
UncalAccel,1609797016178,-0.051734,9.851682,-0.95624065,0.0,0.0,0.0
UncalGyro,1609797016184,-0.0046575684,-6.6584907e-06,4.9937516e-06,0.0,0.0,0.0
UncalMag,1609797016184,53.901352,-4.0909424,-146.64326,-31.0773,51.787903,-198.1201
UncalAccel,1609797016188,-0.046943843,9.755879,-0.88678336,0.0,0.0,0.0
UncalMag,1609797016194,55.681885,-2.6589298,-146.90172,-31.0773,51.787903,-198.1201
UncalAccel,1609797016198,-0.006227471,9.77504,-0.9754013,0.0,0.0,0.0
UncalGyro,1609797016204,0.003865216,-0.00027299533,0.0005376679,0.0,0.0,0.0
UncalMag,1609797016204,55.665165,-3.3352392,-145.78526,-31.0773,51.787903,-198.1201
UncalAccel,1609797016208,-0.051734,9.897189,-1.0544391,0.0,0.0,0.0
UncalMag,1609797016214,53.95894,-3.3935394,-145.92993,-31.0773,51.787903,-198.1201
UncalAccel,1609797016218,-0.022993036,9.813361,-0.95624065,0.0,0.0,0.0
UncalGyro,1609797016224,-0.003858558,0.00025967835,0.00027133012,0.0,0.0,0.0
UncalMag,1609797016224,53.98928,-2.7101989,-146.43645,-31.0773,51.787903,-198.1201
